
Week,Scenario,Listings,PlusListings,PremiumListings,FeaturedPlacements,EscrowTransactions,ListingRevenue,CommissionRevenue,TotalRevenue
0,Low,10,0,0,0,1,0,1,1
1,Low,20,1,0,2,2,11,2,13
2,Low,30,2,1,3,4,29,4,33
3,Low,40,2,1,4,6,32,6,38
4,Low,50,3,2,5,8,40,8,48
5,Low,60,4,2,6,10,46,10,56
6,Low,70,4,3,7,12,58,12,70
7,Low,80,5,3,8,14,64,14,78
8,Low,90,6,4,9,16,83,16,99
9,Low,100,6,4,10,18,86,18,104
10,Low,110,7,5,11,20,104,20,124
11,Low,120,8,5,12,22,112,22,134
12,Low,130,8,6,13,24,125,24,149
0,Medium,20,1,0,2,2,11,2,13
1,Medium,40,2,1,4,4,32,4,36
2,Medium,60,4,2,6,8,56,8,64
3,Medium,80,5,3,8,12,74,12,86
4,Medium,100,6,4,10,16,96,16,112
5,Medium,120,8,5,12,20,122,20,142
6,Medium,140,9,6,14,24,144,24,168
7,Medium,160,10,7,16,28,166,28,194
8,Medium,180,12,8,18,32,192,32,224
9,Medium,200,13,9,20,36,215,36,251
10,Medium,220,14,10,22,40,238,40,278
11,Medium,240,16,11,24,44,264,44,308
12,Medium,260,17,12,26,48,287,48,335
0,High,30,2,1,3,4,29,4,33
1,High,60,4,2,6,8,66,8,74
2,High,90,6,4,9,12,108,12,120
3,High,120,8,5,12,16,142,16,158
4,High,150,10,7,15,20,185,20,205
5,High,180,12,8,18,24,222,24,246
6,High,210,14,10,21,28,263,28,291
7.High,240,16,11,24,32,304,32,336
8,High,270,18,12,27,36,345,36,381
9,High,300,20,13,30,40,385,40,425
10,High,330,22,15,33,44,431,44,475
11,High,360,24,16,36,48,476,48,524
12,High,390,26,17,39,52,519,52,571
